method,pattern,rate,seed,mdape,flips,coverage
VAE,FLOW,0.1,0,0.07198124225351586,0.01818181818181818,0.7763157894736842
GNN,FLOW,0.1,0,0.18151086965761476,0.04242424242424243,0.8157894736842105
PEDIGREE,FLOW,0.1,1,0.0001334559239570968,0.0,0.7894736842105263
KNN,FLOW,0.1,1,0.00014824556735213644,0.0,0.7631578947368421
SOFTIMPUTE,FLOW,0.1,1,0.0001547586110808416,0.0,
VAE,FLOW,0.1,1,8.799695446217714e-05,0.0,0.9868421052631579
GNN,FLOW,0.1,1,0.00113204122959905,0.0,0.7894736842105263
PEDIGREE,FLOW,0.1,2,0.06881241186935244,0.029320987654320986,0.8289473684210527
KNN,FLOW,0.1,2,0.08443015561034517,0.010802469135802469,0.75
SOFTIMPUTE,FLOW,0.1,2,0.11614098269610737,0.024691358024691357,
VAE,FLOW,0.1,2,0.09675796891344281,0.016975308641975308,0.75
GNN,FLOW,0.1,2,0.07478091542639034,0.029320987654320986,0.75
PEDIGREE,FLOW,0.2,0,0.20779608209630304,0.009202453987730062,0.5921052631578947
KNN,FLOW,0.2,0,0.008887783462129494,0.0015337423312883436,0.8421052631578947
SOFTIMPUTE,FLOW,0.2,0,0.1082366881125164,0.003067484662576687,
VAE,FLOW,0.2,0,0.0985083006511735,0.0,0.75
GNN,FLOW,0.2,0,0.12971413959999137,0.05368098159509203,0.6710526315789473
PEDIGREE,FLOW,0.2,1,0.06401056018626348,0.031818181818181815,0.7368421052631579
KNN,FLOW,0.2,1,0.05890938583890361,0.01818181818181818,0.5394736842105263
SOFTIMPUTE,FLOW,0.2,1,0.06834487950196459,0.015151515151515152,
VAE,FLOW,0.2,1,0.0784758296203092,0.031818181818181815,0.8947368421052632
GNN,FLOW,0.2,1,2.8315344291561804,0.08181818181818182,0.75
PEDIGREE,FLOW,0.2,2,0.0009976777011439103,0.0015432098765432098,0.881578947368421
KNN,FLOW,0.2,2,0.024625786762036913,0.0015432098765432098,0.9868421052631579
SOFTIMPUTE,FLOW,0.2,2,0.0031040935491673063,0.0015432098765432098,
VAE,FLOW,0.2,2,0.023693352092621377,0.0015432098765432098,0.75
GNN,FLOW,0.2,2,0.010402021402130304,0.006172839506172839,0.75
PEDIGREE,FLOW,0.4,0,0.06975646309128539,0.05693781716276604,0.7368421052631579
KNN,FLOW,0.4,0,0.06081683490299063,0.02151973036431114,0.8157894736842105
SOFTIMPUTE,FLOW,0.4,0,0.7065991367188044,0.03688555631295917,
VAE,FLOW,0.4,0,0.44213556215903943,0.04761228508672272,0.618421052631579
GNN,FLOW,0.4,0,0.8364761366208702,0.11059039612209345,0.5263157894736842
PEDIGREE,FLOW,0.4,1,0.17532789315406905,0.062121212121212126,0.3815789473684211
KNN,FLOW,0.4,1,0.13475401728446768,0.024242424242424242,0.8026315789473685
SOFTIMPUTE,FLOW,0.4,1,2.254402369372456,0.06515151515151515,
VAE,FLOW,0.4,1,7.388341334436671,0.0803030303030303,0.3684210526315789
GNN,FLOW,0.4,1,2.0835863136477366,0.13636363636363635,0.47368421052631576
PEDIGREE,FLOW,0.4,2,0.10987725120364139,0.03047034764826176,0.3815789473684211
KNN,FLOW,0.4,2,0.12696861494401676,0.03669827105409927,0.7631578947368421
SOFTIMPUTE,FLOW,0.4,2,0.5293549300822735,0.025906302286670384,
VAE,FLOW,0.4,2,0.8391232608711909,0.061015058561070826,0.3684210526315789
GNN,FLOW,0.4,2,0.6889485121461031,0.07784904257296896,0.3684210526315789
PEDIGREE,BLOCK,0.05,0,0.009611821342648746,0.0,0.5
KNN,BLOCK,0.05,0,0.06259629728017757,0.0,1.0
SOFTIMPUTE,BLOCK,0.05,0,0.032703142205359276,0.0,
VAE,BLOCK,0.05,0,0.12692910128265647,0.0,0.42105263157894735
GNN,BLOCK,0.05,0,0.024115627983451078,0.0,0.25
PEDIGREE,BLOCK,0.05,1,0.010539676214811385,0.0,1.0
KNN,BLOCK,0.05,1,0.010539676214811385,0.0,0.5
SOFTIMPUTE,BLOCK,0.05,1,0.07395816417491367,0.0,
VAE,BLOCK,0.05,1,0.03382200676692498,0.0,0.0
GNN,BLOCK,0.05,1,0.6239547494979358,0.02274586354340956,0.0
PEDIGREE,BLOCK,0.05,2,0.00506955850085942,0.0,0.0
KNN,BLOCK,0.05,2,0.00506955850085942,0.0,0.0
SOFTIMPUTE,BLOCK,0.05,2,0.016595547722986537,0.0,
VAE,BLOCK,0.05,2,0.14727362547142164,0.004545454545454545,0.0
GNN,BLOCK,0.05,2,0.10607567512536466,0.0,0.0
PEDIGREE,BLOCK,0.1,0,0.04805382156556481,0.022904057617759047,0.7236842105263158
KNN,BLOCK,0.1,0,0.04296058499294621,0.022904057617759047,0.6842105263157895
SOFTIMPUTE,BLOCK,0.1,0,0.12066172647692874,0.06872232894727782,
VAE,BLOCK,0.1,0,0.2678376721312315,0.05182241639296854,0.3157894736842105
GNN,BLOCK,0.1,0,0.040983595880139806,0.03966402263948276,0.4605263157894737
PEDIGREE,BLOCK,0.1,1,0.05019050124677693,0.0,0.618421052631579
KNN,BLOCK,0.1,1,0.17093819950134354,0.0,0.8026315789473685
SOFTIMPUTE,BLOCK,0.1,1,0.17390407830756716,0.0,
VAE,BLOCK,0.1,1,0.06314605728600217,0.0,0.6973684210526315
GNN,BLOCK,0.1,1,0.29420459384657605,0.004545454545454545,0.75
PEDIGREE,BLOCK,0.1,2,0.12704710714387993,0.00909090909090909,0.5789473684210527
KNN,BLOCK,0.1,2,0.15476202410683568,0.010643242238334263,0.7763157894736842
SOFTIMPUTE,BLOCK,0.1,2,0.31605954564696864,0.03193953853463056,
VAE,BLOCK,0.1,2,0.3685838233287983,0.012205387205387205,0.4868421052631579
GNN,BLOCK,0.1,2,0.19117108697328555,0.01065270978358913,0.05263157894736842
PEDIGREE,BLOCK,0.2,0,0.01630038364635892,0.0,0.8421052631578947
KNN,BLOCK,0.2,0,0.01630038364635892,0.0,0.6973684210526315
SOFTIMPUTE,BLOCK,0.2,0,0.10002431980232657,0.0,
VAE,BLOCK,0.2,0,0.24953881488445578,0.00909090909090909,0.07894736842105263
GNN,BLOCK,0.2,0,0.09637985777836121,0.0,0.06578947368421052
